
PHP CODE SNIFFER VIOLATION SOURCE SUMMARY
-----------------------------------------------------------------------------------------------------
    STANDARD  CATEGORY            SNIFF                                                         COUNT
[x] Squiz     Arrays              Array declaration first index no newline                      60
[x] Generic   PHP                 Lower case keyword found                                      58
[ ] Drupal    White space         Empty lines empty lines                                       58
[x] Drupal    Commenting          Inline comment tab before                                     57
[ ] Drupal    Semantics           Function T white space                                        53
[x] Drupal    White space         Comma too many spaces                                         49
[ ] Drupal    Naming conventions  Valid function name invalid name                              49
[ ] Drupal    Semantics           Function T not literal string                                 47
[x] Drupal    CSS                 Colour definition not lower                                   46
[x] Squiz     Arrays              Array declaration comma after last                            42
[x] Generic   Functions           Function call argument spacing too much space after comma     42
[ ] Drupal    Classes             Property declaration underscore                               42
[x] Squiz     White space         Semicolon spacing incorrect                                   41
[x] Drupal    Commenting          Doc comment star star missing                                 34
[ ] Drupal    Strings             Unnecessary string concat found                               34
[ ] Drupal    Info files          Auto added keys version                                       34
[x] Squiz     Control structures  For each loop declaration no space after arrow                33
[ ] Drupal    Semantics           Function T concat                                             33
[x] Squiz     Control structures  For each loop declaration no space before arrow               32
[x] Drupal    CSS                 Class definition name spacing multiple selectors              32
[x] Drupal    Commenting          Function comment spacing after                                30
[ ] Generic   Code analysis       Useless overriding method found                               27
[ ] PEAR      Functions           Valid default value not at end                                26
[ ] Drupal    Naming conventions  Valid global global under score                               26
[ ] Drupal    Commenting          Doc comment param not first                                   26
[x] Drupal    Commenting          Function comment param comment indentation                    25
[x] Squiz     Arrays              Array declaration space before comma                          21
[x] Drupal    Commenting          Doc comment spacing before short                              21
[x] Drupal    Commenting          Variable comment inline variable name                         19
[x] Drupal    Commenting          Class comment spacing after                                   19
[ ] Drupal    Commenting          Hook comment                                                  19
[x] Drupal    Commenting          Doc comment long full stop                                    18
[ ] Drupal    Commenting          Doc comment empty                                             18
[ ] Drupal    Classes             Class create instance parenthesis missing                     18
[ ] Drupal    Semantics           Function T empty string                                       17
[ ] Drupal    Commenting          Function comment extra param comment                          17
[x] Squiz     Functions           Function declaration argument spacing space before comma      15
[x] Drupal    Formatting          Space unary operator inc dec left                             15
[ ] Drupal    Commenting          Function comment missing param name                           15
[x] Drupal    Commenting          File comment file tag                                         14
[x] Drupal    Classes             Class declaration space before brace                          14
[ ] Drupal    Commenting          Variable comment duplicate var                                13
[x] Squiz     Functions           Multi line function declaration space after function          12
[x] Squiz     CSS                 Indentation blank line                                        12
[ ] Drupal    Semantics           Function T backslash single quote                             12
[ ] Drupal    Naming conventions  Valid class name start with captial                           12
[ ] Drupal    Commenting          Function comment void return                                  12
[ ] Drupal    Commenting          Function comment invalid no return                            12
[x] Drupal    Commenting          Function comment return comment indentation                   10
[ ] Drupal    Info files          Auto added keys project                                       10
[ ] Drupal    Commenting          Doc comment param group                                       10
[x] Drupal    Commenting          File comment wrong style                                      9
[ ] Drupal    Commenting          Function comment return type spaces                           9
[x] Drupal    Commenting          Inline comment wrong style                                    8
[ ] Drupal    Commenting          Variable comment missing var                                  8
[ ] Drupal    Commenting          Function comment return not required                          8
[x] Squiz     Functions           Multi line function declaration one param per line            7
[ ] Drupal    Commenting          Variable comment var order                                    7
[x] Squiz     White space         Language construct spacing incorrect                          6
[x] Squiz     CSS                 Class definition opening brace space before                   6
[x] Drupal    Control structures  Control signature space before semicolon                      6
[x] Drupal    Commenting          Doc comment long not capital                                  6
[ ] Drupal    Naming conventions  Valid class name no underscores                               6
[ ] Drupal    Commenting          Function comment missing return type                          6
[ ] Drupal    Commenting          Doc comment wrong end                                         6
[x] Squiz     White space         Language construct spacing incorrect single                   5
[x] Squiz     Functions           Function declaration argument spacing spacing before close    5
[x] Squiz     Control structures  For loop declaration no space after first                     5
[x] Generic   Functions           Function call argument spacing space before comma             5
[x] Drupal    Commenting          Function comment return var name                              5
[ ] Generic   Naming conventions  Constructor name old style                                    5
