
PHP CODE SNIFFER REPORT SUMMARY
------------------------------------------------------------------------------------------------------------------------
FILE                                                                                                    ERRORS  WARNINGS
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/Form/MigrateFilesForm.php             0       8
/home/ashish/www/tvaudit/docroot/modules/custom/migrate_files/src/MigrateIncrementalRunBatch.php        0       2
.../ashish/www/tvaudit/docroot/modules/custom/background_image/src/Controller/BackgroundController.php  0       7
/home/ashish/www/tvaudit/docroot/modules/custom/downloader/src/Form/DownloaderForm.php                  0       8
/home/ashish/www/tvaudit/docroot/modules/custom/front_page_metatag/src/Form/InfoLinksConfigForm.php     0       4
...e/ashish/www/tvaudit/docroot/modules/custom/front_page_metatag/src/Form/HeaderBiddingConfigForm.php  0       4
/home/ashish/www/tvaudit/docroot/modules/custom/front_page_metatag/front_page_metatag.routing.yml       0       3
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Controller/AlmanacSitemap.php               0       51
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Controller/AlmanacSearch.php                0       29
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Form/FMMenuSettingsForm.php                 0       1
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Form/IPMenuSettingsForm.php                 0       1
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Plugin/Block/YearByYearFormBlock.php        0       2
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Plugin/Block/DailyAlmanac.php               0       10
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Plugin/Block/TVHomeCalendar.php             0       5
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Plugin/Block/TVEducatorCalendar.php         0       7
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/src/Plugin/Block/IPHomeBlock.php                0       5
/home/ashish/www/tvaudit/docroot/modules/custom/ip_home/ip_home.module                                  0       2
...www/tvaudit/docroot/modules/custom/fen_newsletters/src/EventSubscriber/FenNewslettersSubscriber.php  0       1
...ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/DirectManageController.php  0       1
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/CommonController.php     0       5
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/ByPassTVSubs.php         0       2
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/UserLocation.php         0       4
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/PregnancyController.php  0       6
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/AdminActions.php         0       32
...shish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/MigrateResponsysContact.php  0       5
...sh/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/ViewSubscriberSubscription.php  0       6
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/Subscriptions.php        0       12
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Controller/ProfileNewsletter.php    0       1
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/NewsletterSettingsForm.php     0       1
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/MailSubscriptionForm.php       0       5
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/ManageSubscriberForm.php       0       3
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/SubscribeForm.php              0       5
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/SetLaunchDateForm.php          0       8
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/AdminManageSubscribers.php     0       19
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Form/UplaodAndSendTestMailForm.php  0       27
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Notification/Responsys.php      0       2
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Notification/Contact.php        0       1
/home/ashish/www/tvaudit/docroot/modules/custom/fen_newsletters/src/Lib/Subscriber.php                  0       1
